TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target,Cluster
14.089999999999975,680,1,36,0,70.0,0,81.0,1.0,5112.21,105,1,1
376.24,1178,1,15,0,68.0,0,141.0,1.0,13758.91,192,2,2
126.29000000000002,1262,1,23,2,19.0,3,56.0,1.0,1122.35,41,2,2
184.5,818,1,33,2,26.0,3,25.0,1.0,8569.06,163,1,1
92.15,635,1,28,0,18.0,3,172.0,1.0,781.6800000000003,13,1,1
7.079999999999984,306,0,39,0,37.0,0,139.0,1.0,13316.71,226,1,1
171.42,837,0,16,1,67.0,2,291.0,1.0,2796.24,271,2,2
106.23000000000002,557,0,11,1,51.0,1,86.0,1.0,9095.14,290,1,1
815.96,610,1,26,0,55.0,0,120.0,1.0,1021.8800000000006,9,1,1
17.779999999999973,516,0,0,2,52.0,1,59.0,1.0,7599.52,22,1,1
190.02,234,1,22,2,21.0,3,173.0,1.0,1528.81,49,1,1
494.52,1037,0,23,1,24.0,3,111.0,1.0,1620.02,135,2,2
781.76,2173,1,22,0,26.0,3,123.0,1.0,189.6899999999996,43,0,0
166.99,283,1,21,2,18.0,3,134.0,1.0,299.9300000000003,226,1,1
465.45,2354,1,10,0,36.0,1,129.0,1.0,3465.54,355,0,0
555.8,2031,0,2,1,19.0,3,158.0,1.0,1131.2600000000002,72,0,0
492.93,2367,1,8,2,39.0,1,234.0,1.0,5109.97,327,0,0
18.680000000000007,353,0,0,1,59.0,2,106.0,1.0,7948.37,337,1,1
71.48000000000005,1050,0,8,2,18.0,3,169.0,1.0,6568.59,177,2,2
59.31999999999999,413,1,20,1,71.0,2,38.0,1.0,5750.89,181,1,1
85.76999999999995,1479,1,19,1,38.0,0,93.0,1.0,9146.19,110,2,2
52.19999999999999,1029,1,1,2,39.0,1,120.0,1.0,8974.93,38,2,2
345.84,802,1,13,2,22.0,3,142.0,3.0,1402.5,41,1,1
145.54,436,1,33,2,21.0,3,96.0,1.0,1930.96,46,1,1
7.490000000000009,1979,0,15,2,65.0,2,276.0,1.0,3634.67,201,0,0
246.93,707,1,24,0,23.0,3,158.0,5.0,673.3500000000004,314,1,1
40.31999999999999,601,1,25,1,37.0,1,95.0,1.0,2686.52,335,1,1
127.44999999999999,160,1,19,2,44.0,0,197.0,1.0,1772.06,298,1,1
56.170000000000016,1753,1,11,1,27.0,3,283.0,1.0,1351.69,127,0,0
28.310000000000002,1296,0,24,2,59.0,0,20.0,1.0,8334.47,174,2,2
59.12000000000003,224,1,3,0,29.0,0,257.0,1.0,9823.64,35,1,1
396.45,1783,1,27,0,49.0,1,168.0,3.0,9690.15,289,0,0
877.81,505,1,20,2,22.0,3,150.0,1.0,399.0,87,1,1
255.26,2019,0,37,1,45.0,0,50.0,1.0,14815.87,267,0,0
124.75999999999999,1924,1,39,1,49.0,1,45.0,1.0,5764.72,0,0,0
78.13,2190,1,25,1,26.0,3,145.0,1.0,900.6099999999997,354,0,0
795.31,1904,1,23,0,66.0,0,90.0,2.0,7914.88,293,0,0
335.63,161,1,28,2,55.0,2,216.0,1.0,1019.3899999999999,69,1,1
328.47,1393,1,35,0,63.0,2,119.0,1.0,4323.66,68,2,2
34.01999999999998,53,1,30,2,38.0,0,19.0,1.0,14214.48,321,1,1
241.42,735,0,5,2,57.0,0,116.0,1.0,13357.02,160,1,1
55.31999999999999,684,1,40,0,19.0,3,117.0,1.0,241.78999999999996,100,1,1
304.31,1358,1,21,1,27.0,3,33.0,1.0,868.6099999999997,210,2,2
435.27,1854,1,6,1,74.0,2,90.0,1.0,4673.28,288,0,0
164.49,2359,1,3,1,26.0,3,75.0,1.0,1509.27,250,0,0
510.24,1869,1,28,2,19.0,3,105.0,1.0,781.6999999999998,311,0,0
626.9,2233,1,10,2,26.0,3,138.0,1.0,265.5100000000002,61,0,0
22.00999999999999,578,0,34,2,41.0,1,175.0,1.0,1335.0900000000001,8,1,1
425.34,284,0,18,2,69.0,2,121.0,1.0,3907.54,44,1,1
424.56,355,1,29,2,51.0,1,264.0,1.0,5183.85,360,1,1
85.43,1033,1,41,1,67.0,0,145.0,1.0,14904.9,22,2,2
169.5,1666,1,36,1,28.0,3,142.0,1.0,918.8800000000001,155,2,2
104.63,603,1,29,0,62.0,2,90.0,1.0,4477.78,258,1,1
316.95,1415,1,23,1,25.0,3,83.0,1.0,1324.0299999999997,172,2,2
60.539999999999964,2366,0,8,1,57.0,2,52.0,1.0,3534.93,214,0,0
